Nodes        = 341
Arcs         = 1124

// List Of Arcs
Arc =   1 ,  From =   1 ,  To =  20 ,  Longueur =   116.71
Arc =   2 ,  From =   2 ,  To =   1 ,  Longueur =   119.78
Arc =   3 ,  From =   2 ,  To =   3 ,  Longueur =    84.25
Arc =   4 ,  From =   3 ,  To =   4 ,  Longueur =   113.49
Arc =   5 ,  From =   3 ,  To =  22 ,  Longueur =   104.02
Arc =   6 ,  From =   4 ,  To =  23 ,  Longueur =    93.93
Arc =   7 ,  From =   5 ,  To =   4 ,  Longueur =   107.65
Arc =   8 ,  From =   5 ,  To =   6 ,  Longueur =   130.36
Arc =   9 ,  From =   5 ,  To =  23 ,  Longueur =   145.12
Arc =  10 ,  From =   5 ,  To =  38 ,  Longueur =   213.94
Arc =  11 ,  From =   6 ,  To =  39 ,  Longueur =   225.39
Arc =  12 ,  From =   7 ,  To =   6 ,  Longueur =    97.46
Arc =  13 ,  From =   7 ,  To =   8 ,  Longueur =   100.88
Arc =  14 ,  From =   7 ,  To =  40 ,  Longueur =   215.36
Arc =  15 ,  From =   8 ,  To =   9 ,  Longueur =   108.04 
Arc =  16 ,  From =   9 ,  To =   8 ,  Longueur =   108.04 
Arc =  17 ,  From =   9 ,  To =  25 ,  Longueur =   135.13 
Arc =  18 ,  From =   9 ,  To =  42 ,  Longueur =   206.77 
Arc =  19 ,  From =  10 ,  To =   9 ,  Longueur =    91.92 
Arc =  20 ,  From =  10 ,  To =  25 ,  Longueur =    86.19 
Arc =  21 ,  From =  11 ,  To =  10 ,  Longueur =   111.28 
Arc =  22 ,  From =  11 ,  To =  12 ,  Longueur =   209.42 
Arc =  23 ,  From =  11 ,  To =  44 ,  Longueur =   218.40 
Arc =  24 ,  From =  12 ,  To =  11 ,  Longueur =   209.42 
Arc =  25 ,  From =  12 ,  To =  13 ,  Longueur =    99.44 
Arc =  26 ,  From =  12 ,  To =  26 ,  Longueur =   112.68 
Arc =  27 ,  From =  13 ,  To =  12 ,  Longueur =    99.44 
Arc =  28 ,  From =  13 ,  To =  14 ,  Longueur =    97.73 
Arc =  29 ,  From =  13 ,  To =  27 ,  Longueur =   104.16 
Arc =  30 ,  From =  14 ,  To =  13 ,  Longueur =    97.73 
Arc =  31 ,  From =  14 ,  To =  15 ,  Longueur =   125.89 
Arc =  32 ,  From =  14 ,  To =  28 ,  Longueur =    66.95 
Arc =  33 ,  From =  15 ,  To =  14 ,  Longueur =   125.89 
Arc =  34 ,  From =  16 ,  To =  15 ,  Longueur =    86.41 
Arc =  35 ,  From =  16 ,  To =  17 ,  Longueur =   117.73 
Arc =  36 ,  From =  16 ,  To =  30 ,  Longueur =   169.25 
Arc =  37 ,  From =  16 ,  To =  50 ,  Longueur =   238.70 
Arc =  38 ,  From =  17 ,  To =  16 ,  Longueur =   117.73 
Arc =  39 ,  From =  17 ,  To =  18 ,  Longueur =    98.32 
Arc =  40 ,  From =  17 ,  To =  30 ,  Longueur =   112.27 
Arc =  41 ,  From =  18 ,  To =  17 ,  Longueur =    98.32 
Arc =  42 ,  From =  18 ,  To =  19 ,  Longueur =   205.23 
Arc =  43 ,  From =  18 ,  To =  30 ,  Longueur =   156.50 
Arc =  44 ,  From =  18 ,  To =  31 ,  Longueur =   116.85 
Arc =  45 ,  From =  18 ,  To =  32 ,  Longueur =   151.52 
Arc =  46 ,  From =  19 ,  To =  18 ,  Longueur =   205.23 
Arc =  47 ,  From =  19 ,  To =  33 ,  Longueur =   113.32 
Arc =  48 ,  From =  20 ,  To =   1 ,  Longueur =   116.71 
Arc =  49 ,  From =  20 ,  To =  34 ,  Longueur =    97.19 
Arc =  50 ,  From =  21 ,  To =   2 ,  Longueur =    97.29 
Arc =  51 ,  From =  21 ,  To =  20 ,  Longueur =   105.47 
Arc =  52 ,  From =  21 ,  To =  35 ,  Longueur =   127.50 
Arc =  53 ,  From =  22 ,  To =   3 ,  Longueur =   104.02 
Arc =  54 ,  From =  22 ,  To =  21 ,  Longueur =   104.53 
Arc =  55 ,  From =  23 ,  To =   4 ,  Longueur =    93.93 
Arc =  56 ,  From =  23 ,  To =   5 ,  Longueur =   145.12 
Arc =  57 ,  From =  23 ,  To =  36 ,  Longueur =   151.97 
Arc =  58 ,  From =  24 ,  To =   7 ,  Longueur =   163.30 
Arc =  59 ,  From =  24 ,  To =   8 ,  Longueur =    94.63 
Arc =  60 ,  From =  24 ,  To =   9 ,  Longueur =   142.71 
Arc =  61 ,  From =  24 ,  To =  40 ,  Longueur =   145.80 
